,Last Name,First Name,Email,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Exam 1 Score,Exam 2 Score,Exam 3 Score,Homework score,Quizes score,Total Score
77,Holt,Crystal,crystal.holt@univ.edu,9,9,14,14,9,68.0,80.0,51.0,80.0,64.0,80.0,91.0,100.0,52.0,70.0,67.0,90.0,37.0,50.0,43.0,70.0,45.0,60.0,39.0,60.0,63.0,100.0,97.0,100.0,73.0,100.0,0.63,0.97,0.73,0.7527027027027027,0.7971014492753623,78.0
78,Scott,Michelle,michelle.scott@univ.edu,7,15,12,14,7,52.0,80.0,55.0,80.0,72.0,80.0,66.0,100.0,44.0,70.0,79.0,90.0,35.0,50.0,52.0,70.0,50.0,60.0,42.0,60.0,87.0,100.0,77.0,100.0,92.0,100.0,0.87,0.77,0.92,0.7391891891891892,0.7971014492753623,80.0
79,Myers,Brian,brian.myers@univ.edu,9,10,15,8,7,75.0,80.0,49.0,80.0,53.0,80.0,65.0,100.0,66.0,70.0,69.0,90.0,49.0,50.0,47.0,70.0,44.0,60.0,53.0,60.0,74.0,100.0,60.0,100.0,92.0,100.0,0.74,0.6,0.92,0.7702702702702703,0.7101449275362319,75.0
80,Price,Ricardo,ricardo.price@univ.edu,10,12,8,14,12,77.0,80.0,74.0,80.0,67.0,80.0,67.0,100.0,67.0,70.0,58.0,90.0,41.0,50.0,60.0,70.0,38.0,60.0,55.0,60.0,68.0,100.0,92.0,100.0,75.0,100.0,0.68,0.92,0.75,0.8162162162162162,0.8115942028985508,81.0
81,Smith,Crystal,crystal.smith@univ.edu,6,14,8,14,5,63.0,80.0,80.0,80.0,59.0,80.0,90.0,100.0,48.0,70.0,66.0,90.0,48.0,50.0,64.0,70.0,52.0,60.0,58.0,60.0,85.0,100.0,88.0,100.0,60.0,100.0,0.85,0.88,0.6,0.8486486486486486,0.6811594202898551,78.0
82,Miller,Jorge,jorge.miller@univ.edu,10,10,6,14,11,69.0,80.0,56.0,80.0,59.0,80.0,88.0,100.0,50.0,70.0,67.0,90.0,47.0,50.0,64.0,70.0,58.0,60.0,57.0,60.0,74.0,100.0,73.0,100.0,81.0,100.0,0.74,0.73,0.81,0.831081081081081,0.7391304347826086,79.0
83,Bryan,Bradley,bradley.bryan@univ.edu,10,12,8,10,8,55.0,80.0,65.0,80.0,63.0,80.0,86.0,100.0,68.0,70.0,86.0,90.0,44.0,50.0,69.0,70.0,48.0,60.0,47.0,60.0,96.0,100.0,82.0,100.0,66.0,100.0,0.96,0.82,0.66,0.8527027027027027,0.6956521739130435,80.0
84,Smith,Andrea,andrea.smith@univ.edu,5,10,7,12,12,80.0,80.0,71.0,80.0,61.0,80.0,73.0,100.0,61.0,70.0,79.0,90.0,47.0,50.0,62.0,70.0,43.0,60.0,41.0,60.0,66.0,100.0,97.0,100.0,86.0,100.0,0.66,0.97,0.86,0.8351351351351352,0.6666666666666666,79.0
85,Petersen,Kristin,kristin.petersen@univ.edu,8,8,7,5,5,49.0,80.0,77.0,80.0,75.0,80.0,90.0,100.0,54.0,70.0,90.0,90.0,45.0,50.0,47.0,70.0,46.0,60.0,40.0,60.0,97.0,100.0,68.0,100.0,97.0,100.0,0.97,0.68,0.97,0.8283783783783784,0.4782608695652174,74.0
86,Hart,Colleen,colleen.hart@univ.edu,6,6,17,9,7,48.0,80.0,70.0,80.0,59.0,80.0,81.0,100.0,46.0,70.0,62.0,90.0,38.0,50.0,52.0,70.0,45.0,60.0,59.0,60.0,68.0,100.0,72.0,100.0,62.0,100.0,0.68,0.72,0.62,0.7567567567567568,0.6521739130434783,71.0
87,Walls,Joyce,joyce.walls@univ.edu,10,6,9,7,12,59.0,80.0,77.0,80.0,61.0,80.0,84.0,100.0,44.0,70.0,64.0,90.0,40.0,50.0,45.0,70.0,40.0,60.0,42.0,60.0,69.0,100.0,73.0,100.0,91.0,100.0,0.69,0.73,0.91,0.7513513513513513,0.6376811594202898,73.0
88,Good,Sherry,sherry.good@univ.edu,6,12,7,7,9,50.0,80.0,48.0,80.0,77.0,80.0,94.0,100.0,54.0,70.0,77.0,90.0,44.0,50.0,62.0,70.0,48.0,60.0,47.0,60.0,89.0,100.0,88.0,100.0,64.0,100.0,0.89,0.88,0.64,0.8121621621621622,0.5942028985507246,75.0
89,Guzman,Cynthia,cynthia.guzman@univ.edu,6,15,14,10,7,63.0,80.0,68.0,80.0,48.0,80.0,67.0,100.0,55.0,70.0,54.0,90.0,38.0,50.0,51.0,70.0,57.0,60.0,47.0,60.0,64.0,100.0,74.0,100.0,66.0,100.0,0.64,0.74,0.66,0.7405405405405405,0.7536231884057971,73.0
90,Pena,Jonathan,jonathan.pena@univ.edu,9,8,13,10,5,53.0,80.0,74.0,80.0,55.0,80.0,70.0,100.0,51.0,70.0,74.0,90.0,33.0,50.0,63.0,70.0,47.0,60.0,42.0,60.0,74.0,100.0,79.0,100.0,84.0,100.0,0.74,0.79,0.84,0.7594594594594595,0.6521739130434783,74.0
91,Carter,Lorraine,lorraine.carter@univ.edu,5,13,14,12,10,50.0,80.0,66.0,80.0,62.0,80.0,80.0,100.0,42.0,70.0,66.0,90.0,38.0,50.0,56.0,70.0,45.0,60.0,43.0,60.0,68.0,100.0,69.0,100.0,99.0,100.0,0.68,0.69,0.99,0.7405405405405405,0.782608695652174,77.0
92,Flores,Russell,russell.flores@univ.edu,7,8,13,9,12,48.0,80.0,68.0,80.0,71.0,80.0,77.0,100.0,68.0,70.0,90.0,90.0,30.0,50.0,64.0,70.0,47.0,60.0,56.0,60.0,64.0,100.0,78.0,100.0,98.0,100.0,0.64,0.78,0.98,0.8364864864864865,0.7101449275362319,79.0
93,Boyd,Victoria,victoria.boyd@univ.edu,9,8,6,6,8,58.0,80.0,61.0,80.0,75.0,80.0,99.0,100.0,52.0,70.0,86.0,90.0,34.0,50.0,51.0,70.0,40.0,60.0,50.0,60.0,68.0,100.0,93.0,100.0,69.0,100.0,0.68,0.93,0.69,0.8189189189189189,0.5362318840579711,72.0
94,Moore,Kimberly,kimberly.moore@univ.edu,6,14,17,8,4,79.0,80.0,60.0,80.0,70.0,80.0,90.0,100.0,54.0,70.0,61.0,90.0,38.0,50.0,54.0,70.0,46.0,60.0,36.0,60.0,64.0,100.0,96.0,100.0,64.0,100.0,0.64,0.96,0.64,0.7945945945945946,0.7101449275362319,76.0
95,Johnson,Paul,paul.johnson@univ.edu,10,14,9,11,10,73.0,80.0,50.0,80.0,55.0,80.0,65.0,100.0,47.0,70.0,76.0,90.0,32.0,50.0,55.0,70.0,40.0,60.0,51.0,60.0,84.0,100.0,80.0,100.0,94.0,100.0,0.84,0.8,0.94,0.7351351351351352,0.782608695652174,79.0
96,Johnson,Jamie,jamie.johnson@univ.edu,5,14,16,9,6,74.0,80.0,78.0,80.0,76.0,80.0,100.0,100.0,66.0,70.0,85.0,90.0,40.0,50.0,67.0,70.0,36.0,60.0,50.0,60.0,63.0,100.0,71.0,100.0,90.0,100.0,0.63,0.71,0.9,0.9081081081081082,0.7246376811594203,81.0
97,Reyes,Bailey,bailey.reyes@univ.edu,10,15,17,6,7,53.0,80.0,50.0,80.0,55.0,80.0,97.0,100.0,57.0,70.0,75.0,90.0,39.0,50.0,64.0,70.0,41.0,60.0,46.0,60.0,90.0,100.0,72.0,100.0,71.0,100.0,0.9,0.72,0.71,0.7797297297297298,0.7971014492753623,79.0
98,Garza,Jessica,jessica.garza@univ.edu,8,8,16,11,10,49.0,80.0,77.0,80.0,71.0,80.0,69.0,100.0,44.0,70.0,74.0,90.0,46.0,50.0,64.0,70.0,46.0,60.0,55.0,60.0,90.0,100.0,79.0,100.0,62.0,100.0,0.9,0.79,0.62,0.8040540540540541,0.7681159420289855,79.0
99,Nguyen,Cindy,cindy.nguyen@univ.edu,7,10,6,10,10,51.0,80.0,59.0,80.0,58.0,80.0,63.0,100.0,52.0,70.0,58.0,90.0,50.0,50.0,66.0,70.0,46.0,60.0,41.0,60.0,82.0,100.0,68.0,100.0,82.0,100.0,0.82,0.68,0.82,0.7351351351351352,0.6231884057971014,72.0
100,Simpson,Felicia,felicia.simpson@univ.edu,11,7,13,9,12,59.0,80.0,66.0,80.0,77.0,80.0,73.0,100.0,60.0,70.0,90.0,90.0,36.0,50.0,63.0,70.0,53.0,60.0,41.0,60.0,63.0,100.0,90.0,100.0,99.0,100.0,0.63,0.9,0.99,0.8351351351351352,0.7536231884057971,82.0
101,Dennis,Rachel,rachel.dennis@univ.edu,7,6,7,6,11,73.0,80.0,67.0,80.0,75.0,80.0,65.0,100.0,43.0,70.0,69.0,90.0,44.0,50.0,52.0,70.0,51.0,60.0,41.0,60.0,72.0,100.0,98.0,100.0,86.0,100.0,0.72,0.98,0.86,0.7837837837837838,0.5362318840579711,74.0
102,Garcia,Desiree,desiree.garcia@univ.edu,8,10,6,10,6,68.0,80.0,78.0,80.0,77.0,80.0,95.0,100.0,60.0,70.0,73.0,90.0,35.0,50.0,47.0,70.0,45.0,60.0,55.0,60.0,81.0,100.0,99.0,100.0,70.0,100.0,0.81,0.99,0.7,0.8554054054054054,0.5797101449275363,77.0
103,Rice,Rhonda,rhonda.rice@univ.edu,8,9,14,6,9,77.0,80.0,48.0,80.0,53.0,80.0,68.0,100.0,67.0,70.0,67.0,90.0,50.0,50.0,43.0,70.0,43.0,60.0,52.0,60.0,61.0,100.0,98.0,100.0,96.0,100.0,0.61,0.98,0.96,0.7675675675675676,0.6666666666666666,77.0
104,Clark,Jill,jill.clark@univ.edu,9,6,14,11,4,70.0,80.0,71.0,80.0,52.0,80.0,96.0,100.0,56.0,70.0,71.0,90.0,36.0,50.0,55.0,70.0,53.0,60.0,50.0,60.0,62.0,100.0,94.0,100.0,88.0,100.0,0.62,0.94,0.88,0.8243243243243243,0.6376811594202898,77.0
105,Harris,John,john.harris@univ.edu,9,14,12,6,12,74.0,80.0,77.0,80.0,53.0,80.0,89.0,100.0,69.0,70.0,87.0,90.0,47.0,50.0,43.0,70.0,39.0,60.0,60.0,60.0,91.0,100.0,90.0,100.0,95.0,100.0,0.91,0.9,0.95,0.8621621621621621,0.7681159420289855,86.0
106,Terry,Amy,amy.terry@univ.edu,4,12,9,5,7,71.0,80.0,54.0,80.0,76.0,80.0,93.0,100.0,43.0,70.0,89.0,90.0,30.0,50.0,58.0,70.0,54.0,60.0,49.0,60.0,60.0,100.0,81.0,100.0,79.0,100.0,0.6,0.81,0.79,0.8337837837837838,0.5362318840579711,72.0
107,Dennis,Cameron,cameron.dennis@univ.edu,4,6,13,5,4,75.0,80.0,73.0,80.0,59.0,80.0,61.0,100.0,43.0,70.0,67.0,90.0,36.0,50.0,59.0,70.0,51.0,60.0,54.0,60.0,88.0,100.0,66.0,100.0,68.0,100.0,0.88,0.66,0.68,0.7810810810810811,0.463768115942029,68.0
108,Delgado,Desiree,desiree.delgado@univ.edu,4,7,9,8,4,69.0,80.0,74.0,80.0,74.0,80.0,64.0,100.0,60.0,70.0,55.0,90.0,31.0,50.0,55.0,70.0,55.0,60.0,51.0,60.0,88.0,100.0,69.0,100.0,78.0,100.0,0.88,0.69,0.78,0.7945945945945946,0.463768115942029,70.0
109,Poole,Melissa,melissa.poole@univ.edu,9,7,17,12,5,62.0,80.0,70.0,80.0,70.0,80.0,73.0,100.0,54.0,70.0,82.0,90.0,43.0,50.0,65.0,70.0,54.0,60.0,51.0,60.0,88.0,100.0,97.0,100.0,83.0,100.0,0.88,0.97,0.83,0.8432432432432433,0.7246376811594203,83.0
110,Odom,John,john.odom@univ.edu,11,15,8,9,6,59.0,80.0,59.0,80.0,60.0,80.0,61.0,100.0,44.0,70.0,62.0,90.0,34.0,50.0,66.0,70.0,52.0,60.0,55.0,60.0,85.0,100.0,100.0,100.0,80.0,100.0,0.85,1.0,0.8,0.745945945945946,0.7101449275362319,78.0
111,Mann,Nicole,nicole.mann@univ.edu,11,8,12,11,9,73.0,80.0,53.0,80.0,80.0,80.0,75.0,100.0,60.0,70.0,88.0,90.0,49.0,50.0,70.0,70.0,54.0,60.0,45.0,60.0,99.0,100.0,85.0,100.0,97.0,100.0,0.99,0.85,0.97,0.8743243243243243,0.7391304347826086,86.0
112,Reid,Laura,laura.reid@univ.edu,4,13,10,8,12,51.0,80.0,75.0,80.0,48.0,80.0,62.0,100.0,42.0,70.0,54.0,90.0,32.0,50.0,61.0,70.0,49.0,60.0,46.0,60.0,64.0,100.0,86.0,100.0,86.0,100.0,0.64,0.86,0.86,0.7027027027027027,0.6811594202898551,73.0
113,Roberts,Steven,steven.roberts@univ.edu,8,14,8,9,8,56.0,80.0,75.0,80.0,76.0,80.0,92.0,100.0,59.0,70.0,74.0,90.0,38.0,50.0,60.0,70.0,59.0,60.0,49.0,60.0,70.0,100.0,80.0,100.0,67.0,100.0,0.7,0.8,0.67,0.8621621621621621,0.6811594202898551,77.0
114,Foster,Ashlee,ashlee.foster@univ.edu,5,12,17,14,12,79.0,80.0,78.0,80.0,74.0,80.0,81.0,100.0,63.0,70.0,75.0,90.0,38.0,50.0,45.0,70.0,41.0,60.0,43.0,60.0,73.0,100.0,61.0,100.0,74.0,100.0,0.73,0.61,0.74,0.8337837837837838,0.8695652173913043,81.0
115,Flower,John,john.g.2.flower@univ.edu,8,8,8,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.6086956521739131,19.0
116,Allen,Christina,christina.allen@univ.edu,10,12,14,14,8,63.0,80.0,78.0,80.0,76.0,80.0,68.0,100.0,53.0,70.0,83.0,90.0,44.0,50.0,69.0,70.0,39.0,60.0,43.0,60.0,60.0,100.0,70.0,100.0,67.0,100.0,0.6,0.7,0.67,0.8324324324324325,0.8405797101449275,79.0
117,Lopez,Mark,mark.lopez@univ.edu,4,15,15,7,9,58.0,80.0,51.0,80.0,55.0,80.0,69.0,100.0,65.0,70.0,81.0,90.0,32.0,50.0,59.0,70.0,45.0,60.0,40.0,60.0,94.0,100.0,87.0,100.0,78.0,100.0,0.94,0.87,0.78,0.75,0.7246376811594203,78.0
118,Edwards,Nicole,nicole.edwards@univ.edu,10,12,9,12,10,62.0,80.0,76.0,80.0,62.0,80.0,79.0,100.0,64.0,70.0,74.0,90.0,37.0,50.0,58.0,70.0,58.0,60.0,51.0,60.0,89.0,100.0,63.0,100.0,65.0,100.0,0.89,0.63,0.65,0.8391891891891892,0.7681159420289855,79.0
119,Jones,Daniel,daniel.jones@univ.edu,8,8,11,7,10,61.0,80.0,49.0,80.0,78.0,80.0,98.0,100.0,56.0,70.0,85.0,90.0,32.0,50.0,42.0,70.0,40.0,60.0,58.0,60.0,79.0,100.0,68.0,100.0,61.0,100.0,0.79,0.68,0.61,0.8094594594594594,0.6376811594202898,73.0
120,Thomas,Brandon,brandon.thomas@univ.edu,7,10,13,8,4,80.0,80.0,49.0,80.0,53.0,80.0,77.0,100.0,46.0,70.0,86.0,90.0,33.0,50.0,53.0,70.0,37.0,60.0,51.0,60.0,86.0,100.0,72.0,100.0,65.0,100.0,0.86,0.72,0.65,0.7635135135135135,0.6086956521739131,72.0
121,Mccall,Kimberly,kimberly.mccall@univ.edu,11,15,10,12,4,61.0,80.0,53.0,80.0,79.0,80.0,95.0,100.0,44.0,70.0,87.0,90.0,36.0,50.0,48.0,70.0,60.0,60.0,57.0,60.0,79.0,100.0,98.0,100.0,60.0,100.0,0.79,0.98,0.6,0.8378378378378378,0.7536231884057971,80.0
122,Houston,Emily,emily.houston@univ.edu,8,9,17,5,11,54.0,80.0,60.0,80.0,56.0,80.0,71.0,100.0,56.0,70.0,71.0,90.0,46.0,50.0,55.0,70.0,52.0,60.0,40.0,60.0,100.0,100.0,78.0,100.0,87.0,100.0,1.0,0.78,0.87,0.7581081081081081,0.7246376811594203,79.0
123,Sampson,Stephanie,stephanie.sampson@univ.edu,10,10,6,12,4,77.0,80.0,50.0,80.0,57.0,80.0,81.0,100.0,69.0,70.0,84.0,90.0,39.0,50.0,54.0,70.0,46.0,60.0,59.0,60.0,87.0,100.0,100.0,100.0,75.0,100.0,0.87,1.0,0.75,0.8324324324324325,0.6086956521739131,78.0
124,Reilly,Brandy,brandy.reilly@univ.edu,5,13,6,14,10,70.0,80.0,80.0,80.0,55.0,80.0,84.0,100.0,42.0,70.0,79.0,90.0,44.0,50.0,60.0,70.0,45.0,60.0,52.0,60.0,69.0,100.0,67.0,100.0,95.0,100.0,0.69,0.67,0.95,0.8256756756756757,0.6956521739130435,77.0
125,Miranda,Brett,brett.miranda@univ.edu,11,9,15,11,8,74.0,80.0,63.0,80.0,53.0,80.0,71.0,100.0,61.0,70.0,62.0,90.0,43.0,50.0,51.0,70.0,54.0,60.0,51.0,60.0,82.0,100.0,94.0,100.0,95.0,100.0,0.82,0.94,0.95,0.7878378378378378,0.782608695652174,83.0
126,Marshall,Shawn,shawn.marshall@univ.edu,8,9,15,11,6,70.0,80.0,73.0,80.0,50.0,80.0,96.0,100.0,49.0,70.0,55.0,90.0,46.0,50.0,52.0,70.0,38.0,60.0,39.0,60.0,69.0,100.0,68.0,100.0,62.0,100.0,0.69,0.68,0.62,0.7675675675675676,0.7101449275362319,72.0
127,Barrera,Woody,woody.barrera_jr@univ.edu,4,10,11,7,10,55.0,80.0,62.0,80.0,73.0,80.0,83.0,100.0,68.0,70.0,87.0,90.0,36.0,50.0,43.0,70.0,45.0,60.0,46.0,60.0,86.0,100.0,62.0,100.0,90.0,100.0,0.86,0.62,0.9,0.8081081081081081,0.6086956521739131,75.0
128,Lambert,Malaika,malaika.lambert@univ.edu,8,10,10,13,6,63.0,80.0,57.0,80.0,78.0,80.0,83.0,100.0,61.0,70.0,88.0,90.0,42.0,50.0,58.0,70.0,45.0,60.0,37.0,60.0,60.0,100.0,91.0,100.0,93.0,100.0,0.6,0.91,0.93,0.827027027027027,0.6811594202898551,78.0
129,Edwards,Timothy,timothy.edwards@univ.edu,6,14,6,5,7,49.0,80.0,72.0,80.0,60.0,80.0,87.0,100.0,49.0,70.0,84.0,90.0,30.0,50.0,49.0,70.0,39.0,60.0,60.0,60.0,68.0,100.0,73.0,100.0,71.0,100.0,0.68,0.73,0.71,0.7824324324324324,0.5507246376811594,70.0
130,Young,Joseph,joseph.young@univ.edu,8,14,12,11,10,51.0,80.0,69.0,80.0,60.0,80.0,68.0,100.0,67.0,70.0,63.0,90.0,49.0,50.0,42.0,70.0,55.0,60.0,49.0,60.0,72.0,100.0,68.0,100.0,96.0,100.0,0.72,0.68,0.96,0.7743243243243243,0.7971014492753623,79.0
131,Sanders,Beth,beth.sanders@univ.edu,4,12,9,10,9,59.0,80.0,67.0,80.0,53.0,80.0,85.0,100.0,68.0,70.0,77.0,90.0,41.0,50.0,52.0,70.0,50.0,60.0,42.0,60.0,73.0,100.0,71.0,100.0,67.0,100.0,0.73,0.71,0.67,0.8027027027027027,0.6376811594202898,73.0
132,Jones,Michele,michele.jones@univ.edu,7,6,12,6,6,67.0,80.0,61.0,80.0,65.0,80.0,95.0,100.0,63.0,70.0,89.0,90.0,42.0,50.0,58.0,70.0,43.0,60.0,55.0,60.0,100.0,100.0,82.0,100.0,63.0,100.0,1.0,0.82,0.63,0.8621621621621621,0.5362318840579711,76.0
133,Watson,Holly,holly.watson@univ.edu,11,12,10,6,5,66.0,80.0,51.0,80.0,66.0,80.0,79.0,100.0,53.0,70.0,55.0,90.0,35.0,50.0,61.0,70.0,49.0,60.0,49.0,60.0,81.0,100.0,100.0,100.0,90.0,100.0,0.81,1.0,0.9,0.7621621621621621,0.6376811594202898,77.0
134,Benton,Michael,michael.benton@univ.edu,7,6,17,10,4,54.0,80.0,66.0,80.0,68.0,80.0,65.0,100.0,50.0,70.0,63.0,90.0,49.0,50.0,52.0,70.0,48.0,60.0,46.0,60.0,78.0,100.0,91.0,100.0,91.0,100.0,0.78,0.91,0.91,0.7581081081081081,0.6376811594202898,76.0
135,Campbell,Charles,charles.campbell@univ.edu,5,15,14,14,8,60.0,80.0,61.0,80.0,63.0,80.0,81.0,100.0,50.0,70.0,75.0,90.0,44.0,50.0,57.0,70.0,47.0,60.0,50.0,60.0,66.0,100.0,96.0,100.0,100.0,100.0,0.66,0.96,1.0,0.7945945945945946,0.8115942028985508,83.0
136,Weber,Samuel,samuel.weber@univ.edu,6,12,14,5,6,71.0,80.0,78.0,80.0,74.0,80.0,86.0,100.0,69.0,70.0,81.0,90.0,31.0,50.0,48.0,70.0,55.0,60.0,44.0,60.0,79.0,100.0,96.0,100.0,86.0,100.0,0.79,0.96,0.86,0.8608108108108108,0.6231884057971014,80.0
137,Woodard,John,john.woodard@univ.edu,11,14,11,13,8,51.0,80.0,68.0,80.0,56.0,80.0,71.0,100.0,69.0,70.0,60.0,90.0,33.0,50.0,56.0,70.0,41.0,60.0,60.0,60.0,68.0,100.0,93.0,100.0,62.0,100.0,0.68,0.93,0.62,0.7635135135135135,0.8260869565217391,78.0
138,Bauer,John,john.bauer@univ.edu,4,7,13,9,8,57.0,80.0,70.0,80.0,73.0,80.0,83.0,100.0,56.0,70.0,89.0,90.0,38.0,50.0,57.0,70.0,57.0,60.0,44.0,60.0,64.0,100.0,88.0,100.0,92.0,100.0,0.64,0.88,0.92,0.8432432432432433,0.5942028985507246,76.0
139,Rogers,Sherry,sherry.rogers@univ.edu,4,12,17,9,11,58.0,80.0,60.0,80.0,49.0,80.0,68.0,100.0,50.0,70.0,75.0,90.0,33.0,50.0,44.0,70.0,55.0,60.0,56.0,60.0,63.0,100.0,92.0,100.0,80.0,100.0,0.63,0.92,0.8,0.7405405405405405,0.7681159420289855,77.0
140,Warren,Tamara,tamara.warren@univ.edu,10,14,16,7,11,74.0,80.0,53.0,80.0,48.0,80.0,92.0,100.0,57.0,70.0,58.0,90.0,44.0,50.0,54.0,70.0,56.0,60.0,52.0,60.0,77.0,100.0,80.0,100.0,99.0,100.0,0.77,0.8,0.99,0.7945945945945946,0.8405797101449275,83.0
141,Wolf,Courtney,courtney.wolf@univ.edu,10,15,9,7,9,80.0,80.0,79.0,80.0,66.0,80.0,63.0,100.0,56.0,70.0,71.0,90.0,48.0,50.0,43.0,70.0,52.0,60.0,43.0,60.0,88.0,100.0,86.0,100.0,62.0,100.0,0.88,0.86,0.62,0.8121621621621622,0.7246376811594203,78.0
142,Flores,Brandon,brandon.flores@univ.edu,7,15,11,13,7,62.0,80.0,52.0,80.0,77.0,80.0,87.0,100.0,45.0,70.0,71.0,90.0,40.0,50.0,45.0,70.0,45.0,60.0,54.0,60.0,96.0,100.0,93.0,100.0,65.0,100.0,0.96,0.93,0.65,0.7810810810810811,0.7681159420289855,80.0
143,Evans,Patricia,patricia.evans@univ.edu,9,9,8,12,4,57.0,80.0,74.0,80.0,69.0,80.0,64.0,100.0,57.0,70.0,66.0,90.0,40.0,50.0,69.0,70.0,44.0,60.0,48.0,60.0,72.0,100.0,91.0,100.0,68.0,100.0,0.72,0.91,0.68,0.7945945945945946,0.6086956521739131,74.0
144,Davidson,Luke,luke.davidson@univ.edu,7,14,14,8,5,49.0,80.0,77.0,80.0,77.0,80.0,94.0,100.0,45.0,70.0,69.0,90.0,40.0,50.0,53.0,70.0,55.0,60.0,55.0,60.0,92.0,100.0,62.0,100.0,60.0,100.0,0.92,0.62,0.6,0.8297297297297297,0.6956521739130435,76.0
145,Perez,Jeffrey,jeffrey.perez@univ.edu,4,7,12,12,9,50.0,80.0,56.0,80.0,50.0,80.0,100.0,100.0,53.0,70.0,86.0,90.0,41.0,50.0,58.0,70.0,44.0,60.0,51.0,60.0,67.0,100.0,81.0,100.0,95.0,100.0,0.67,0.81,0.95,0.7959459459459459,0.6376811594202898,76.0
146,Dunlap,Angela,angela.dunlap@univ.edu,6,11,11,11,6,49.0,80.0,73.0,80.0,71.0,80.0,75.0,100.0,62.0,70.0,64.0,90.0,41.0,50.0,66.0,70.0,42.0,60.0,56.0,60.0,82.0,100.0,64.0,100.0,92.0,100.0,0.82,0.64,0.92,0.8094594594594594,0.6521739130434783,76.0
147,Elliott,Richard,richard.elliott@univ.edu,6,13,17,11,12,49.0,80.0,64.0,80.0,76.0,80.0,80.0,100.0,49.0,70.0,65.0,90.0,41.0,50.0,55.0,70.0,37.0,60.0,42.0,60.0,66.0,100.0,64.0,100.0,74.0,100.0,0.66,0.64,0.74,0.754054054054054,0.855072463768116,77.0
148,Nguyen,Donna,donna.nguyen@univ.edu,7,12,14,9,4,52.0,80.0,78.0,80.0,59.0,80.0,76.0,100.0,55.0,70.0,58.0,90.0,32.0,50.0,65.0,70.0,48.0,60.0,46.0,60.0,70.0,100.0,87.0,100.0,64.0,100.0,0.7,0.87,0.64,0.768918918918919,0.6666666666666666,73.0
149,Ramirez,Timothy,timothy.ramirez@univ.edu,4,8,13,6,4,72.0,80.0,73.0,80.0,65.0,80.0,73.0,100.0,49.0,70.0,79.0,90.0,49.0,50.0,57.0,70.0,54.0,60.0,51.0,60.0,84.0,100.0,69.0,100.0,87.0,100.0,0.84,0.69,0.87,0.8405405405405405,0.5072463768115942,73.0
